Unit,PLV_Ctrl,Z_Ctrl,p_Ctrl,PLV_ACh,Z_ACh,p_ACh
0,0.07560650986518656,0.49732195705752613,0.6081571518010117,0.07885760055956771,0.6840373282613567,0.5045757366470374
1,0.2500886803851064,2.2515965300435004,0.1052310857883056,0.3383950972007172,5.038494639617245,0.006483500981330249
2,0.11996610391881868,0.7771607688308834,0.45970938134949496,0.02769196698026888,0.07668450352363018,0.9261820146782858
3,0.2297700744252279,3.642805809994859,0.026178788116724788,0.1463039869451073,1.34850596555015,0.25962786400036814
6,0.10914696963615277,0.9292187564989098,0.39486207333125517,0.1308882476664,1.7817002712268102,0.16835166030084384
7,0.11404250127796908,1.4566375149463848,0.23301848007234396,0.1697701548463497,4.38092963243614,0.012513720052059767
8,0.08903693636468551,0.8006851797581148,0.44902119845571514,0.03772629660656344,0.16082990048804321,0.8514368877892534
9,0.031083759364248755,0.07922840788959082,0.9238288905378688,0.15703873452477388,2.4167940858319557,0.08920714998447277
10,0.059915510613674706,0.21898197313793935,0.8033361996539576,0.05089888418844186,0.21243710575353017,0.8086111717125118
14,0.11414486606941697,0.6775106234002671,0.5078797239064913,0.1276351142153541,2.150375354261176,0.11644044315326493
16,0.18454186464386074,1.770896389924117,0.17018037246258566,0.12379636148631046,15.049679413138765,2.9107658865808546e-07
19,0.12440795998497833,0.8512537279193183,0.426879405687668,0.1148090871339964,1.2917503958770746,0.2747893716991254
22,0.0972567735098488,0.5296972796385776,0.5887831793599999,0.2353710622087025,4.708960638646497,0.009014141665742804
23,0.10680072070254623,0.30797263644974876,0.734935428176445,0.09678845169632347,0.5339762497609778,0.5862691762349383
24,0.223044947008451,3.2336881450901767,0.0394118737017578,0.26850206599296195,4.613975004319289,0.00991233830566371
25,0.11200484448244191,0.9910617298153439,0.37118238633006534,0.10751556975991057,1.0866021876350305,0.33736083729779254
28,0.15222705054707814,2.0855767426436413,0.12423544761896531,0.07980949017926739,0.7579770119982747,0.4686134681840473
29,0.1942431197222617,2.112901815328466,0.12088666619471318,0.09893135322897781,0.5970321717547235,0.5504428341294645
31,0.054849633525493664,0.1895343847665004,0.8273442683688778,0.11681269480447076,1.8284575594426458,0.16066118708800148
32,0.06017536116271648,0.3295177422867664,0.7192705235619868,0.11876357638266158,6.81261215732174,0.0010998162513904573
33,0.1595929592341834,1.9866531856956506,0.13715368607961234,0.14148944193414034,1.8617913826316057,0.15539401075341763
34,0.09539553249436139,0.682523071491207,0.5053403726538259,0.09731731400739947,1.0133605778007826,0.3629970477026965
35,0.04041457502746986,0.11433365122556934,0.8919603025808599,0.1399598014211778,1.6258659191500087,0.1967412394162304
