Condition,Stimulus,Odor,IFR (unit 10),IFR (unit 92),IFR (unit 93),IFR (unit 98),IFR (unit 125),peak (by Con+stim),,,,,
ACH,HS,S2,-0.028387097,1.332473118,0.121075269,-53.40924731,0.011612903,,0,1.332473118,0.121075269,0,0.011612903
ACH,HS,S3,-0.048387097,0.172473118,-0.078924731,-45.92924731,-0.048387097,,0,0.172473118,0,0,0
ACH,HS,D,-0.048387097,-5.047526882,-0.178924731,-58.36924731,-0.028387097,,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,0.192366412,0.112061069,0,1.138625954,4.288091603
,,,,,,,,,0.012366412,0.352061069,1.051450382,0.618625954,0.128091603
,,,,,,,,,0.311612903,23.09247312,0.581075269,28.69075269,0.071612903
Condition,Stimulus,Odor,,,,,,,0.071612903,13.77247312,0.781075269,0,0.111612903
CON,HC,C,0,0.002254461,0,0.011802617,0,,,,,,
CON,HC,S1,0.168049563,0,0,0,0,,0.311612903,23.09247312,1.051450382,28.69075269,4.288091603
CON,HC,S2,0.039685174,0,0,0.007620084,0.500943497,,,,,,
CON,HC,S3,0.039685174,0.00485271,0,0.039686165,1,,,,,,
CON,HC,D,0.617324925,0,0,0,0.30038808,,,,,,
CON,HS,C,0,0.015245707,0.847829244,0.017379326,0.029871471,,,,,,
CON,HS,S1,0,0.007450959,0.372295629,0,0,,,,,,
CON,HS,S2,0.039685174,0.014379623,0.676637142,0.020167681,0.025207391,,,,,,
CON,HS,S3,0,0.010049208,1,0.021561859,0,,,,,,
CON,HS,D,0,0.007450959,0.676637142,0.018773504,0,,,,,,
ACH,HC,C,1,1,0.552641645,0.934473661,0.002708175,,,,,,
ACH,HC,S1,0.037267081,0.220525237,0.001022653,1,0.007372255,,,,,,
ACH,HC,S2,0,0.120925684,0,0.944232903,0.016700414,,,,,,
ACH,HC,S3,0,0.055103371,0,0.926108596,0,,,,,,
ACH,HC,D,0,0,0,0.808997691,0.002708175,,,,,,
ACH,HS,C,0.229813665,0.59640529,0.742855091,0,0.007372255,,,,,,
ACH,HS,S1,0.101449275,0.180685416,0.134172065,0,0.026028573,,,,,,
ACH,HS,S2,0,0.05770162,0.11515072,0,0.002708175,,,,,,
ACH,HS,S3,0,0.007468802,0,0,0,,,,,,
ACH,HS,D,0,0,0,0,0,,,,,,
